BE0075,R-CORREA TPO R18(2.0)/FGO(D.R)
RE7410,R-MECANISMO A/V DEL.DER TW(elect)
RE7411,R-MECANISMO A/V DEL.IZQ TW(elect)
RE7413,R-B.ACEITE R19E/CL1
RE7414,R-ROL AMORT DEL CL1/TW/SYM/LOG/SAND
RE7424,R-EMBLEMA FRONT SYM1/CL2/SC
RE7445,R-ESTOPERA 35X50X10
RE7451,R-F.ACEITE R18(2.0)/FGO/R21
RE7452,.R-PARACHOQ. DEL LOGAN  2008> (ORIG)
RE7465,R-CERRAD.MALETA INT. R19/R21/TW/SYM/MG1
RE7470,R-FRONTAL INT. MG1
RE7475,R-G/FANGO. DEL.DER R21 INY A/FINA
RE7477,R-ESTOPERA 50X65X8
RE7485,R-CAJA DIREC R19(mec)
RE7487,R-AMORT MALETA CL1
RE7488,R-FRASCO AGUA MG2
RE7498,R-CORREA MULT TW 1.3(5PK0900)
RE7501,R-KIT RAYA EMBELLECEDORA (IZQ).R/18-1600
RE7504,R-KIT EMB R/12 (1.3 S/COLL)
RE7505,R-PAST.FRE.DEL SC
RE7506,R-G/FANGO. DEL.DER MG1
RE7510,R-CONMUTADOR SUICHERA TW/KG
RE7511,R-PIVOTE HORQ CLOCHE R11
RE7512,R-G/FANGO. DEL.DER SYM2/CL(+05)
RE7514,R-MICA COCUYO DEL IZQ R18(amarilla)
RE7516,R-G/ACEL. R21(aut)
RE7517,R-G/FANGO. DEL.IZQ SYM2/CL(+05)
RE7520,R-MESA DER. LOG
RE7522,R-MESA IZQ. LOG
RE7529,R-KIT DIST. MG1/SYM2/CL2/SC2(1.6)/KG(1.6
RE7533,R-V.ESC.(UNI) R11/DAC/GALA (2/CUNA)
RE7539,R-PLATINA REJIL. INF.PARACH.DEL.KG(+08)
RE7541,.R-SELLO CAMARA R19 (PEQ)
RE7546,R-PLATO CLO. LOG(1.4)
RE7552,R-GUIA VALV ADM R19(1.7/1.8)/SC1(X4)
RE7554,.R-INTERRUPTOR LUZ FRE.MANO..R-TODOS
RE7556,R-MARTILLO MOTOR MG1/SYM2/CL2/SC2(1.6)/K
RE7561,R-FARO DEL.IZQ CL(02-03)
RE7562,R-ESTOPERA SINFIN DIR R11 (17*32*7)
RE7564,R-TAMBOR FRE.TRAS. R21
RE7567,R-GOMA TRIP L/C IZQ R11/R19/TW/CL/KG
RE7568,R-BUJE PUENTE TRAS TW
RE7569,.R-TAPA DIST. R11 84-88/R5 84-92
RE7586,R-B.AGUA MG1/CL2/SYM2/SC2(1.6)/KG(1.6)
RE7588,.R-E.MULT ESC R19-EN/CLIO1/SYMB1.
RE7589,R-BAKELITA BASE CARBURADOR./R/12
RE7598,.R-BAKELITA B.GAS R18(1.6)
RE7600,R-G/FANGO. DEL.DER R5
RE7601,R-G/FANGO. DEL.IZQ R5
RE7602,R-CAPO DEL TW 1 98>
RE7605,R-G/FANGO. DEL.IZQ TW
RE7606,R-G/FANGO. DEL.DER TW
RE7612,"R-EMBLEMA MALETA ""LOGAN"""
RE7622,.R-ARTIC.AXIAL. DIR.HID.(I-D). CLIO II.
RE7635,R-ANTIRRUIDO CALIPER. R/21
RE7645,R-F.ACEITE TW2(metal)
RE7650,R-MESA INF.DER. TW (todos)
RE7652,R-JGO.GOMAS B/ESTAB.R/12
RE7654,R-PARACHOQ. DEL TW2 05>
RE7658,R-G/FANGO. DEL.DER R21(carb)
RE7664,R-PALANCA LUCES R19E/CL1
RE7670,R-SOPORTE TUBO ESC. CL2/SYM(ceNtral)
RE7685,R-E.MULT ESC R19E/CL1(metal)
RE7689,R-TRIPOIDE R18(1.6)
RE7690,.R-PARACHOQ. DEL MEG1(C/DETALLE)
RE7693,R-KIT PLATINAS C/VELOC (C y Z)
RE7698,R-AMORT DEL LOG
RE7700,R-PLATINA PTA.DEL.DER SYM/CL2
RE7701,R-PLATINA PTA.DEL.IZQ SYM/CL2
RE7702,R-PLATINA PTA.TRA.DER SYM/CL2
RE7703,R-STOP DER R18(c/circuito)
RE7704,.R-VALVULA STOP LOGAN (4/TERM)
RE7705,R-TUBO CALEF R19(1.7)
RE7706,R-SOCATE COCUYO R11/GALA/R19
RE7708,R-CERRAD.CAPO TW
RE7710,R-B.GAS R12/R18br
RE7711,R-ARTIC.AXIAL. LOG/SAND
RE7713,R-B.ACEITE (muestra)
RE7715,R-AMORT DEL R11/GALA/R19
RE7716,R-G/FANGO. TRAS.DER LOGAN
RE7720,R-STOP IZQ R18(c/circuito)
RE7721,R-COLLARIN R11/R19/CL1/TW/GALA
RE7725,R-PLATINA PTA.TRAS (I/D) LOGAN
RE7726,R-KIT CAJA DIR/HD MG1/SYM/CL2/SC2/KG
RE7727,.GOMA ABRAZAD.MG1
RE7729,R-PEDAL CLOC. R11/CL1/GA/R19 (SOLO)
RE7730,.R-F.AIRE MG1/SC
RE7731,R-CAJA DIREC R12
RE7736,R-BENDIX MG1/CL2/SYM2/SC2(1.6)
RE7737,R-BENDIX R5/R12/R18/FGO(pr)
RE7740,INDUCIDO ARR(S/F).R/TODOS/.CH/MO/FI/COR/
RE7742,R-BUJE CIG R5/R12 L/C
RE7750,R-E.CAJA AUT R18(1.6)
RE7752,R-FARO DEL.IZQ R18
RE7753,R-FARO DEL.DER R18
RE7756,.R-B.AGUA R5 1300 doble correa
RE7760,R-TEE T/VALV GASES R5/R18/FGO/R21
RE7765,R-PISTONES 0.50 TW 8V (69mm)
RE7769,R-PISTONES STD R11/BREK-18
RE7770,R-RESISTENCIA E.V R18
RE7777,R-G/BARRO DER R11
RE7780,R-PLATINA LUBRIC. C/VEL CL/MG/LOG
RE7788,R-POLEA CIG. MG1/CL2/SYM2/SC2(1.6)
RE7789,.R-COCUYO DER FUEGO BLANCO
RE7795,R-LEVA CERRAD.CAPO CORTA R12
RE7796,R-CORREA TPO R19E/CL1
RE7798,R-G/CLOCHE CL1
RE7799,R-CAJA DIREC R21.(HIDRAULICA)
RE7810,R-FARO DEL.DER CL(98-01)
RE7811,R-FARO DEL.IZQ CL(98-01)
RE7812,R-EXTRACTOR DE AIRE R11/GALA
RE7815,R-F.AIRE MG2
RE7819,R-MANGUERA RAD INF TW2 8V
RE7821,R-GOMA VALV TW2 8V(X8)
RE7825,R-COPA ARRANQ TW2
RE7832,R-MICA STOP IZQ GALA
RE7833,R-MICA COCUYO DEL IZQ R5
RE7854,R-BASE MET.GUAYA CLOCHE. R18(1.4/1.6)
RE7856,R-SILICON GRIS
RE7859,R-AMORT DEL TW2 8V
RE7864,R-AMORT DEL R18(1.6/1.4)
RE7865,R-B.AGUA SYM1/LOG/KG(1.4)/SAND
RE7892,R-ANILLO 0.25 SYM1/LOG/KG(1.4)/SAND
RE7895,.R-PINON VELOC R11 (19 D)
RE7896,.R-GOMA TRIP L/C IZQ LOGA (B/ANCHA S/ROL
RE7897,.R-SUICHE E/V R21 92 (5T)
RE7899,R-LEVA CERRAD.CAPO LARGA R12
RE7902,R-PAST.FRE R11/19/SYM2/CL2/LOG/TW16 (C/G
RE7903,R-FRONTAL R21 INYEC
RE7907,R-V.ADM.(JG8) MG1/SYM2/CL2/SCE2 1.6
RE7910,.R-DISCO CLOCHE (LUK) TW 1.2 (TODOS)
RE7911,R-TERMINAL IZQ. R12
RE79200,R-KIT PASADOR MES.INF R18-2000
RE7926,.R-AMORT.TRAS R5/11/GALA.
RE7928,MUNON INF. IZQ.DER CLIO2 01-06
RE7929,R-MUNON INF. MG2/LOG/SAND
RE793,R-FARO DEL.DER SAND
RE7930,R-TERMINAL IZQ CL(98-01)(largo)
RE7932,R-TERMINAL DER. CL(98-01)/SC1
RE795,R-FARO DEL.DER SYM1
RE7954,R-BAKELITA B.GAS R11/R12/R21
RE7956,R-BASE MOT IZQ LOG/SAND/MG2
RE796,R-FARO DEL.IZQ SYM1
RE7965,R-SENSOR CAJA AUTOMATICA MG1/SC2(2.0)/CL
RE7979,R-PLATINA LUBRIC. C/VEL 11/19-CL
RE7989,R-TERMINAL DER. LOG/SAND(1 RAYA)
RE7994,R-MANILLA PTA.INT.DER R19
RE7997,R-PARRILLA IZQ. SC(coN rejilla)
RE7999,R-PARRILLA DER. SC(coN rejilla)
RE8000,R-MESA INF.IZQ. TW (todos)
RE8001,R-PLATINA BAJO FARO DER R11
RE8002,R-PLATINA BAJO FARO IZQ R11
RE8003,R-PLATINA BAJO FARO IZQ R21 89
RE8005,R-PLATINA BAJO FARO DER R21 89
RE8006,R-PLATINA FARO DER GALA
RE8007,R-PLATINA FARO IZQ GALA
RE8009,R-BOMBILLO COCUYO(ambar)
RE8010,R-GUIA VALV ESC R19(1.7/1.8)/SC1(X4)
RE8011,R-MANGUERA RAD INF SYM1
RE8012,R-MANGUERA RAD SUP SYM1
RE8013,R-VACUM DIST R5/R11/R12
RE8014,R-KIT EMB TW 1.3.97/99
RE8017,R-ESPEJO RETROV DER MG1(maNual)
RE8020,R-C.BANCO STD R18(1.6)
RE8021,R-MANGUERA FR TRAS TW
RE8022,.R-MANGUERA FRE.DEL CLIO
RE8023,R-MESA IZQ. R19/MG1/SC/KG(08)
RE8024,R-MICA STOP DER TW1
RE8025,R-FARO DEL.IZQ TW1
RE8026,R-G/FRE. MANO CL1
RE8048,R-PEDAL EMB. MEG1/SCN 2 (1.6)
RE8049,R-PEDAL EMB. LOGAN
RE8052,R-BASE CAJA CENTRAL SYM2/CL2/KG(aut)
RE8053,.R-CIRCUITO IMPRESO STOP IZQ FUEGO
RE8054,R-FARO DEL.IZQ CL(93-96)
RE8056,R-FARO DEL.DER CL(93-96)
RE8057,R-LUZ DE TECHO R11 GRIS
RE8058,R-COCUYO LAT G/FANGO (amarillo)
RE8059,.R-STOP IZQ. SYM 2001> (M/N)
RE8060,R-FARO DEL.DER SYM2/CL2(04+)(Negro)
RE8063,R-GRIFO SURTIDOR L.P.B IZQ R11/GA
RE8064,R-GRIFO SURTIDOR L.P.B DER R11/GA
RE8065,R-STOP IZQ R18(fume)
RE8067,.R-COCUYO LAT R19/TW/CLIO/MEG FUME
RE8068,R-FARO DEL.IZQ SYM2/CL2(04+)(Negro)
RE8071,R-BOMBILLO 9005
RE8072,.R-BASE FARO DEL/ IZQ R-5
RE8073,.R-STOP IZQ-EXT. MG 1 .99/2001
RE8076,R-B.FRENO R5(1.3)/R18(1.6)/R12(doble)
RE8081,.R-ARRANQUE MG1,SC2 (1.6)
RE8082,.R-ARRANQUE R11/19-E-MG/SC 1.6 16-V
RE8084,R-MESA INF.IZQ MG2
RE8091,R-FARO DEL.DER R19E
RE8100,R-BOBINA ENC TW2 16V
RE8101,R-SUICHE E/V CL2/MG1(6T)
RE8102,R-KIT EMB R18-1600(S/C)
RE8103,R-TRIPOIDE DER LOG
RE8106,R-ESPEJO RETROV IZQ MG1(maNual)
RE8108,R-ARRANQUE R5/R12(BRONCO)
RE8109,R-ARRANQUE FGO/R18(2.0)(BRONCO)
RE8112,R-E.MOT R12
RE8119,R-V.ESC.(UNI) MG2/LAG/SC2(2.0)
RE8121,R-MESA INF.IZQ R11/GALA(S/M)
RE8125,R-V.ADM.(JG4) R19(1.7)
RE8128,R-COPA ARRANQ R5/R12(broNco)
RE8129,.R-ARRANQUE CL/KG 1.6 16-V .2000/2005
RE8130,.R-ALT.MG 2.0 98/99/SC N/DAC 1.4
RE8139,R-G/ACEL. SYM1
RE8145,R-CORREA A/A CL1
RE8159,R-DISCO EMB SYM/CL2/LOG(1.6)/SAND/KG
RE816,.R-KIT DIST. LOG/SYM (96/D) (CORAM)
RE8173,R-CADENA B.ACEITE R19E/MG1/SYM/LOG/SAND
RE8180,R-ROL TRAS R11/19/GA/CL/MG/TW/SYM/LOG
RE8181,R-GOMA TRIP L/R R5/R12
RE8182,R-GOMA TRIP L/C R5/R12
RE8183,R-BASE MOT IZQ LAG
RE8196,R-KIT EMB SYM/CL2/LOG/SAND/KG(bajo)(S/C)
RE8200,R-PARRILLA RSYMBOL (N)
RE8201,R-POLEA TENS. A/AC TW1(moNopuNto)
RE8211,R-ANILLO 0.50 SYM1/LOG/SAND/KG(1.4)
RE8213,R-KIT EMB R19(1.7/1.8)/GALA
RE8218,R-BRAZO LPB DER SYM/CL2
RE8219,R-BRAZO LPB IZQ SYM/CL2
RE8221,R-KIT EMB R5(S/C)
RE8231,R-G/CLOCHE TW(todos)
RE8236,R-KIT INJECCION MONOPUNTO R-19 ENERGY
RE8245,R-G/ACEL. MG1/SYM/CL2/SC2(1.6)
RE8262,R-C.BIELA 0.10 TW2(todos)
RE8270,RANILLO STD R/19 CLIO LAGUNA 1.8
RE8282,R-C.BIELA 0.10 R18(2.0)/FGO
RE8289,R-C.BIELA 0.20 TW2(todos)
RE8292,R-TUBO PAS.MESET.INF. R12/R18(1.6)
RE8300,.R-BENDIX. R/5,12,18- (M/MAR).9/DTES (PR
RE8310,R-RACHE PEDAL EMB. MG1/SC2
RE8311,R-G/CLOCHE MG1/SC2(1.6)
RE8312,R-BOBINA ENC MG/SYM2/CL2/SC2(1.6)/KG(1.6
RE8313,R-INYECTOR LOG/SAND
RE8315,R-RADIADOR SYM/CL2/LOG/KG
RE8317,R-FARO DEL.DER LOG(+08)
RE8318,R-FARO DEL.IZQ LOG(+08)
RE8321,R-CACHO IZQ CL1/SYM1/TW
RE8334,R-MANGUERA B.AGUA R21 CALEF A.T
RE8370,R-B.FRENO R19E/CL1
RE8376,R-C.BANCO 0.10 MG1/CL2/SYM/LOG/SAN
RE8379,R-G/CAPO MG2(corta)
RE8394,R-PARACHOQ. DEL SYM2/CL(+05)
RE8405,R-LUZ DE TECHO  R18
RE8412,R-PLATINA FARO DEL.IZQ GALA
RE8415,R-E.DESCARBONIZAR GALA(veNder por pieza)
RE8420,R-FARO DEL.DER TW1
RE8421,R-MANGUERA CARB-B.AGUA R21 CARB
RE8422,R-MICA STOP IZQ TW1
RE8425,R-VARILLA ACEITE TW2 8V
RE8426,R-GORRA RENAULT F-1 ORG.(AZUL)
RE8436,R-RADIADOR MEG1/SCE2 1.6
RE8440,.R-G/POLVO AMORT CLIO 11>98
RE8443,R-ARBOL LEVAS R11 18-1400
RE8447,R-KIT CAJA DIR/HID R18-2000/FUEGO
RE8449,R-G/FANGO. DEL.DER CLIO1 91/98
RE8450,R-G/FANGO. DEL.IZQ CLIO1 91/98
RE8460,R-BOTON SEGURO PUERTA R11/GALA
RE8466,R-AMORT DEL TW2 8V
RE8470,R-PUNTA HOMOC MG1/SYM/SC2(1.6)(iNt)(siN
RE8474,R-BUJE VOLANTE CIGUENAL R/12
RE8477,R-RADIADOR R11/GALA
RE8484,R-TAPA CADENA R12
RE8500,R-TAQUETES MG1/CL2/SYM2/SC2(1.6)/KG(1.6)
RE8505,.R-B.AGUA R11/GALA COMPLETA DOLZ
RE8506,R-ESTOPERA 80X100X8
RE852,R-RADIADOR CLIO 2 ( 1.6)
RE8521,R-ANILLO 0.25 R11/R18(1.4)
RE8536,R-G/ACEL. TW
RE8541,R-TEE CARB R18
RE8542,R-JGO PISTONES C/ANILLOS R-19 1.8 INJ.
RE8543,.R-FRASCO AGUA TWINGO
RE8547,R-STOP DER R12br
RE8550,R-POLEA B.AGUA R18-1400
RE8553,R-FRASCO AGUA MG1/SC2/CL(02-03)
RE8555,R-V.ESC.(JG4) R19-E/CL/SYM/LOG
RE8560,R-FRASCO AGUA R21/CL1/R19
RE8561,R-GOMA TRIP L/C MG2(siNc)
RE8562,R-BASE MOTOR DEL.DER MEG/SCE
RE8563,R-E.MULT ADM MG1/CL2/SYM2/SC2(1.6)(X5)
RE8569,R-R-TUBO PAS.MESET.INF.R11(largo)
RE8574,R-PIPA SEGURO PUERTA R5/R11
RE8585,E.CARTER.->KANGOO.
RE8587,R-TENSOR C/TPO. SUP R19(1.7/1.8)/SC1
RE8595,.R-PISTONES STD MG1/CL2/SY2/SC 1.6
RE8596,"R-CEPILLO LPB 14"""
RE8597,R-SOPORTE CAJA DELANT.CENTRAL. R/11.orig
RE8603,R-MICA STOP IZQ R18
RE8614,R-PAST.FRE.DEL SC
RE8615,R-MOZZO DEL R5
RE8624,R-PINON LEVA C/TPO R19-1700/1800 (CORTA)
RE8637,.R-CABLE AVION LAG/R19/R/21
RE8641,R-AMORT DEL KG(02-09)
RE8642,R-COLLARIN MG1/SYM/CL2/LOG/KG/SAND.
RE8645,R-C.BIELA STD MG1/LOG/SAND/CL2/SYM2.
RE8649,.R-CUFIA CAJA DIREC R11/GALA (MEC)
RE8654,R-TAPA TANQ. GAS. R18/FGO/R21 (C/LLAV)
RE8671,R-G/CAPO SC
RE8690,R-GOMA TRIP L/C IZQ R11/R19/TW/CL/KG
RE8699,.R-AUT ARRANQ CORSA,SWIFT,COROLLA(EMBO
RE8700,R-TAPA B.GAS ELECT
RE8711,R-BOMBIN LPB LOG/SAND/MG2(sedaN)(simple)
RE8712,R-MESA INF.R21
RE8715,R-C.BANCO 0.30 TW2
RE8716,R-C.BANCO 0.40 TW2
RE8719,R-C.BIELA 0.40 TW2(todos)
RE8720,R-ROL DIFERENCIAL R11/GALA
RE8721,R-SUICHE ENC MG1
RE8723,R-ROL DEL LOG(48 PINES)
RE8724,R-INYECTOR MG1/CL2/SYM2/SC2(1.6)
RE8725,.R-TAPA GAS. R19-ENERGY
RE8726,R-CIL.MALETA MEG C/LLAVE
RE8731,R-PANTALLA FARO IZQ R19E
RE8732,R-C.BANCO STD MG1/CL2/SYM/LOG/SAND
RE8734,.R-C.BANCO 0.50 MEGANE 1600. 16-V.
RE8735,R-C.BANCO STD MG1/CL2/SYM/LOG/SAND
RE8736,R-KIT SEL R11/19/TW/MG/CL/KG/SC/SYM
RE874,R-B.FRENO R5(1.3)/R18(1.6)/R12(doble)
RE8743,R-BASE E.VENT MG1/SC2
RE8745,R-TUBO ESCAPE LARGO R18
RE8746,R-STOP IZQ R12br
RE8747,R-SILENCIADOR TUBO ESCAPE R11
RE8749,R-SILENCIADOR TUBO ESCAPE GALA
RE8751,.R-RESIST. E/VENT CL/SYM/MG/LOG
RE8753,R-MICA STOP IZQ R18br
RE8754,R-KIT BUJES EJE TRASERO R11/GALA
RE8755,R-MICA STOP IZQ R12
RE8756,R-ANILLO 0.25 R5(1.3)/R12
RE8758,RMICA STOP.DER.R/12.M/NVO 74->
RE8764,R-VALVULA RETROC R19/TW/CL/MG1/LOG/SYM1
RE8788,R-COCUYO DEL DER R12
RE8791,R-PARRILLA R12
RE8794,R-COCUYO DEL DER R18(amarillo)
RE8795,R-G/FRE. MANO DER R5
RE8796,R-SENSOR DEP.LIQ.FRE. TW/CLIO
RE8797,R-VALVULA RAD (muestra)
RE8809,R-MANGUERA RAD INF R18(1.6)
RE8813,R-CONDUCTO B.AGUA R18(2.0)/FGO
RE8817,R-TRIPOIDE DER MG1(aut)
RE8818,R-TRIPOIDE IZQ MG1(aut)
RE8835,R-MESA INF.DER R18(2.0)/FGO(s/muNoN)
RE8845,R-PAST.FRE LOGAN/TW 1.2 01 (KS-1)
RE8854,R-KIT EMB MG2(S/C)
RE8876,R-ESTOPERA 35X47X7
RE8880,R-PARRILLA DEL. R5
RE8881,.R-PARRILLA DEL. R11 (M/V) 4/FAROS
RE8892,R-PARRILLA DEL. CL(93-96)
RE8896,R-CORREA TPO MG1/SYM2/CL2/SC2(1.6)/KG(1.
RE8897,R-ESTOPERA 80X100X13
RE8900,R-CERRAD.MALETA R11
RE8903,.R-E.TAPA VALV IZQ R30 (GOMA)
RE8912,R-AMORT MALETA CL2
RE8919,R-SENSOR VELOC LOG/SAND/SYM3
RE8920,.R-TAPA DIST. R19-1700 (3/TORNILL)
RE8922,R-TOMA AGUA  R19 (N/ORIG)
RE8945,R-PAST.FRE.TRAS SCENIC 00 (KS-1)
RE8952,R-TAPON CAMARA MG/CL2/SYM2/SC2(1.6)/KG(
RE8954,R-AMORT MALETA MG1
RE8957,R-CIL.MALETA GALA C/LLAVE
RE8963,.R-POLEA TENS. C/MULT MG1/SYM/CL2/SC2(1.
RE8965,.R-TAPA TERMOST. R19-E/CLIO (ORIG)
RE8967,R-TAPA DIST R5(1.3)/R18(1.6)(gaNcho)
RE8974,R-INDUCIDO ARRANQ SYM1/LOG/SAND
RE8975,.R-PALANCA LUCES. LOG/MEG/SAND (G)
RE8976,R-PAST.FRE.DEL MG2 07>
RE8977,R-MESA INF.DER SYM/CL2/KG(1.4)
RE8978,R-MESA INF.IZQ. SYM/CL2/KG(1.4)
RE8982,R-C.BIELA 0.30 TW2(todos)
RE8984,.R-TAPA DIST. R19-1700/R21 (DUC-3/TOR)N
RE8985,RROTOR DIST.DUC.R/5-1300/12/18 T.T
RE8986,R-ROTOR DIST R11(e.peq)
RE8987,R-ROTOR DIST R11/R21/R18/FGO(e.graNde)
RE8991,R-G/FRE. MANO IZQ R18
RE8992,R-G/FRE. MANO DER R18
RE8998,.R-GOMA TRIP L/C DER LOG CON CAMPANA
RE8999,.R-COCUYO IZQ  FUEGO BLANCO
RE90,R-ESPEJO RETROV IZQ CL2/SYM(electrico)
RE9000,.R-BUJIAS MONZA
RE9003,.R-AMORT.TRAS R21  LIP (GAS)
RE9004,R-RECIBIDOR TAPA MALETA R11/R18
RE9006,TERMINAL IZQ.MEG,TW,CLIO
RE9011,.R-ESTOPERA CIG TRAS R18-2000 FRANCESA
RE9012,R-AMORT TRAS SYM/CL2
RE9018,R-MANILLA BUTACA TW(verde)
RE9020,.R-CABLE BUJIAS TW 1.2.
RE9023,R-PISTONES R19-E/CLIO 1400
RE9024,R-PARACHOQ. TRAS MG1
RE9025,R-ARRANQUE SYM1/LOG/SAND
RE9026,.R-MICA FARO DER TWINGO 98
RE9027,.R-MICA FARO IZQ TWINGO 98
RE9028,R-COCUYO DEL IZQ FGO
RE9029,R-FARO DEL.IZQ SYM2/CL2(04+)(gris)
RE9030,R-FARO DEL.DER SYM2/CL2(04+)(gris)
RE9031,R-ESPEJO RETROV DER CL2/SYM(electrico)
RE9032,.R-STOP DER. R19-E 2000 (FUME)
RE9033,R-CABLE AVION TW1/R19E/CL1
RE9034,R-COCUYO LAT G/FANGO (blaNco)
RE9036,.R-TAPA DIST. R11/GALA (T/FEMSA-C/GAN)
RE9037,.R-STOP DER. SYM 2000>
RE9038,R-CONMUTADOR SUICHERA R11/GALA
RE9039,.R-STOP IZQ. SYM 2000>
RE9040,R-PANTALLA FARO DER R21(iNy)
RE9042,R-PANTALLA FARO IZQ R21(iNy)
RE9043,R-BRAZO LPB DEL R11/R18/GALA
RE9045,R-BRAZO LPB IZQ R21
RE9050,R-FUSIBLE A/A R11/R21
RE9051,R-BRAZO LPB DER R21
RE9052,R-BRAZO LPB DER R19
RE9054,R-ESPEJO RETROV DER LOG(maNual)
RE9055,R-BRAZO LPB DEL R12
RE9056,R-BASE MOT IZQ R19(aut)/MG1/SYM/CL2/SC2
RE9058,.R-MOTOR L.P.B CLIO/SYMB/MEG AGUA
RE9059,R-BRAZO LPB DEL TW
RE9060,R-BRAZO LPB TRAS TW
RE9061,R-ESPEJO RETROV IZQ FGO
RE9063,.R-G/VELOC R5/R12/R18-1600
RE9064,R-G/CAPO TW
RE9065,R-B.AGUA R11(completa)
RE9067,R-TAPA GAS TW
RE9069,R-ESPEJO RETROV IZQ LOG(maNual)
RE9071,R-TAPA ACEITE R5/R12
RE9073,.R-TAPA GAS. CLIO 1400
RE9074,R-ESPEJO RETROV DER R19(maNual)
RE9076,R-ESPEJO RETROV IZQ R19(maNual)
RE9077,R-ESPEJO RETROV IZQ CL2/SYM(maNual)
RE9078,R-ESPEJO RETROV DER MG1(elect)
RE9079,R-ESPEJO RETROV DER CL2/SYM(maNual)
RE9081,R-FARO DEL.DER R21(carb)
RE9086,R-B.ACEITE MG2
RE9087,R-CORREA TPO R19(1.7/1.8)
RE9093,R-ESPEJO RETROV DER R11/GALA
RE9094,R-GOMA B/ESTAB CENTRAL LOG
RE9095,R-MANGUERA RAD INF R11
RE9096,.R-MANGUERA RAD.SUP. R11
RE9098,R-MANGUERA CALEF R11 C/GRIFO
RE9099,R-MANGUERA RAD SUP R18br
RE91,R-STOP IZQ R19E
RE9100,R-BASE CAJA CENTRAL LOG/SAND
RE9101,.R-MANGUERA RAD INF CL1
RE9102,R-TUBO CALEF CL1/SYM1/LOG/SAND
RE9103,.R-MANGUERA RAD. CL2/SYM2 (SINC)
RE9104,.R-TERMOST. MG 98-->
RE9105,R-CONDUCTO B.AGUA R21
RE9106,.R-MANGUERA RAD.INF. R11/GALA
RE9108,R-PAST.FRE R19E/CL1/MG1/SYM1/TW/CL2 S/G
RE9110,R-MANGUERA RAD SUP R21
RE9111,R-TOMA AGUA R19-E/CL/EXPRESS
RE9115,R-MODULO ENC. R/19/CL INJ.
RE9118,R-B.DIR/HID LOG/CL2/SYM/MG1/SC2(1.6)
RE9119,R-MODULO RESIST A/A TW
RE9120,R-CABLE AVION TW2/SYM1/KG/LOG/SAND
RE9121,R-G/FANGO. DEL.DER R19
RE9122,R-MECANISMO A/V DEL.DER R12 MEC
RE9123,R-G/FANGO. DEL.IZQ R19-ENERGY
RE9124,R-COLLARIN R18(2.0)/FGO/R21
RE9125,R-INTERRUPTOR LUZ PTA MG/CL2/SYM/LOG/SAN
RE9128,R-AMORT DEL R12
RE9132,R-AMORT DEL LOG
RE9134,.R-TAPA DIST. R5/11/12/GAL/BREK (DUC)
RE9140,R-VIGA PARACHOQUE MG1
RE9152,R-INVERTIDOR PTA IZQ.R/11 R/30 FGO
RE9162,R-INVERTIDOR PTA DER.R/11/R/30/FUEGO
RE9165,R-B.AGUA SYM1/LOG/KG(1.4)/SAND
RE9168,R-MECANISMO A/V DEL.DER R5
RE9173,R-LUZ PLACA R5/R12br
RE9177,R-MECANISMO A/V DEL.IZQ MEG ELECT
RE9181,R-ESPEJO RETROV IZQ R19(elect)
RE9182,R-POMO PAL CAMB LOG(largo)
RE9183,R-POMO PAL CAMB LOG(corto)
RE9187,R-MOTOR LPB TRAS TW
RE9188,R-G/FANGO. DEL.IZQ R19
RE9190,R-G/POLVO CAJA DIR. MG2
RE9191,R-VALVULA PCV MG2
RE92,R-HORQUILLA COLL LOGAN/SANDER
RE9201,R-PARACHOQ. TRAS TW
RE9210,R-G/FRE. MANO SAND
RE9211,R-PINON LEVA R19-1700 (GDE)
RE9213,R-MESA INF.DER R11/GALA(S/M)
RE9215,R-MECANISMO A/V DEL.DER CLIO 1
RE9216,R-BUJE TREN TRAS CORTO./R/5.
RE9218,R-ALT SYM1/LOG/SAND/KG(1.4)
RE9221,R-KIT CAD.B.ACEITE.CLIO 93/96.20/P
RE9230,"R-EMBLEMA MALETA ""RENAULT"" BORDE NEGRO"
RE9231,R-B.ACEITE SYM1/KG
RE9236,R-TAPA DIST R5/R11/R18(torNillo ext)
RE9237,R-BOBINA ENC MG/SYM2/CL2/SC2(1.6)/KG(1.6
RE9238,R-G/FRE. MANO MG1
RE9239,"R-EMBLEMA ""RENAULT 18 GTX"""
RE9252,R-PANTALLA FARO DER TW2(vidrio)
RE9254,R-ESTOPERA REP DIR HID R18-2000 (2/EST)
RE9260,R-BUJE POLEA CIG R11
RE9281,R-TRIPOIDE IZQ MG2(aut)
RE9291,R-BASE CAJA CENTRAL LAG
RE9300,R-GOMA TAPON B.AGUA  R5 (GDE 3/4)
RE9302,R-GOMA TAPON B.AGUA R5  7/8
RE9311,R-ROTOR DIST R18/FGO(marchal)
RE9312,R-BOMBIN LPB R19/R21/TW/MG1/CL1
RE9320,"R-EMBLEMA MALETA ""RENAULT""CROMADO"
RE9321,R-CACHO DER CL1/SYM1/TW
RE9328,R-ROL DEL R18(2.0)/FGO/R21
RE9329,R-G/POLVO CAJA DIR. R18(2.0)/FGO/GALA/R1
RE9331,R-MANGUERA FR DEL R12br
RE9333,R-CHAPA ALOJAMIENTO FARO./R/11  (IZQ)
